VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
353010,Fernandina,22347,Confirmed Eruption,Historical Observations,0,1/12/2020,1/13/2020,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,Historical Observations,4,1/12/2020,1/22/2020,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,Historical Observations,3,1/11/2020,5/13/2020,30.443,130.217
241040,Whakaari/White Island,22338,Confirmed Eruption,Historical Observations,2,12/9/2019,12/9/2019,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,Historical Observations,1,12/7/2019,6/19/2020,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,Historical Observations,1,12/5/2019,8/27/2020,27.247,140.874
282060,Kikai,22339,Confirmed Eruption,Historical Observations,2,11/2/2019,11/2/2019,30.793,130.305
243070,Lateiki,22334,Confirmed Eruption,Historical Observations,1,10/13/2019,10/22/2019,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,Historical Observations,2,8/7/2019,8/25/2019,36.406,138.523
357090,Copahue,22336,Confirmed Eruption,Historical Observations,2,8/2/2019,11/12/2019,-37.856,-71.183
263090,Tangkuban Parahu,22325,Confirmed Eruption,Historical Observations,1,7/26/2019,9/17/2019,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,Historical Observations,3,7/23/2019,5/4/2020,54.756,-163.97
311060,Semisopochnoi,22328,Confirmed Eruption,Historical Observations,1,7/16/2019,8/24/2019,51.93,179.58
252120,Ulawun,22319,Confirmed Eruption,Historical Observations,4,6/26/2019,10/5/2019,-5.05,151.33
354020,Ubinas,22324,Confirmed Eruption,Historical Observations,2,6/24/2019,9/12/2019,-16.355,-70.903
290250,Raikoke,22321,Confirmed Eruption,Historical Observations,3,6/22/2019,7/1/2019,48.292,153.25
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,Historical Observations,0,6/11/2019,10/27/2019,-21.244,55.708
311120,Great Sitkin,22322,Confirmed Eruption,Historical Observations,1,6/1/2019,6/7/2019,52.076,-176.13
290240,Sarychev Peak,22320,Confirmed Eruption,Historical Observations,2,5/16/2019,10/7/2019,48.092,153.2
341040,Colima,22323,Confirmed Eruption,Historical Observations,1,5/11/2019,7/12/2019,19.514,-103.62
282110,Asosan,22317,Confirmed Eruption,Historical Observations,2,4/16/2019,6/16/2020,32.884,131.104
300260,Klyuchevskoy,22310,Confirmed Eruption,Historical Observations,2,4/9/2019,3/20/2021,56.056,160.642
352090,Sangay,22312,Confirmed Eruption,Historical Observations,2,3/26/2019,8/19/2021,-2.005,-78.341
